player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Rodrigo Sánchez Rodriguez,41083.0,Real Betis,EU,RW,55,1-6M€,44,40,40,64,40,43,41,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,5.0,3.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['La Liga 2020/21']
Rodrigo Javier De Paul,7797.0,Argentina,AR,CM,55,1-6M€,11,47,40,63,42,51,54,0.0,0.0,0.0,0.0,91.0,0.8351648351648352,1.0,0.0,17.0,25.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['FIFA World Cup 2022']
Rodrigo Andrés Battaglia,10605.0,Deportivo Alavés,EU,CDM,55,1-6M€,21,42,40,52,42,68,44,0.0,0.0,0.0,0.0,23.0,0.7391304347826086,1.0,0.0,34.0,2.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition', 'Dribble']","['Double pivot', 'Récupération', 'Bloc bas']",['La Liga 2020/21']
Robin Koch,13294.0,Eintracht Frankfurt,DE,CB,55,1-6M€,22,48,40,66,40,47,51,0.0,0.0,0.0,0.0,85.0,0.8823529411764706,0.0,0.0,4.0,40.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Travail défensif', 'Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['Bundesliga 2023/24']
Vincent Marchetti,7440.0,AC Ajaccio,EU,CM,55,1-6M€,25,44,41,55,42,70,47,0.0,0.0559489,0.0,0.0,30.0,0.7666666666666667,1.0,0.0,46.0,8.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Finition', 'Dribble']","['Box-to-box', 'Pressing collectif', 'Transitions']",['Ligue 1 2022/23']
Robin Aime Robert Le Normand,22128.0,Spain,ES,CB,55,1-6M€,53,48,41,69,40,45,51,0.0,0.11746518,0.0,0.0,84.0,0.9523809523809524,0.0,0.0,1.0,43.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Travail défensif', 'Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture zone']",['UEFA Euro 2024']
Nemanja Gudelj,16489.0,Serbia,RS,CDM,55,1-6M€,18,43,40,60,40,56,47,0.0,0.0,0.0,0.0,55.0,0.8363636363636363,0.0,0.0,17.0,16.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['FIFA World Cup 2022']
Naïm Sliti,3557.0,Tunisia,EU,RW,55,1-6M€,32,53,42,47,64,50,46,0.0,0.1403044,0.0,0.0,40.0,0.575,4.0,2.0,15.0,21.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Haute pression', 'Ailier haut', 'Contre-pressing']",['FIFA World Cup 2022']
Nampalys Mendy,4506.0,Senegal,SN,CDM,55,1-6M€,67,41,40,61,40,47,40,0.0,0.0,0.0,0.0,12.0,0.9166666666666666,0.0,0.0,5.0,7.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,['Précision passe'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['FIFA World Cup 2022']
Nahuel Molina Lucero,29201.0,Argentina,AR,RB,55,1-6M€,28,48,40,64,45,52,48,0.0,0.0,0.0,0.0,61.0,0.9016393442622952,2.0,0.0,10.0,21.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Précision passe', 'Passes progressives']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['FIFA World Cup 2022']
Nabil Fekir,2948.0,Real Betis,EU,CAM,55,1-6M€,72,42,52,58,40,53,46,0.0,0.02668288,0.0,0.0,29.0,0.8275862068965517,0.0,0.0,20.0,12.0,"['4-2-3-1', '4-3-3', '3-4-3']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Jeu de possession', 'Milieu créatif', 'Entre les lignes']",['La Liga 2020/21']
