player,player_id,team,nationality,pos,overall,market_value,transfer_open,pace_score,shoot_score,pass_score,dribble_score,defense_score,physic_score,goals,xg_total,assists,key_passes,passes_total,pass_completion,dribbles_total,dribbles_won,pressures,progressive_passes,formations,best_formation,strengths,weaknesses,systems,competitions
Mykola Shaparenko,21294.0,Ukraine,UA,CM,55,1-6M€,42,41,40,58,40,58,44,0.0,0.0,0,1,33.0,0.8484848484848485,0.0,0.0,34.0,11.0,"['4-3-3', '4-2-3-1', '3-5-2']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Box-to-box', 'Pressing collectif', 'Transitions']",['UEFA Euro 2024']
Mykola Matvienko,18617.0,Ukraine,UA,CB,55,1-6M€,82,45,40,65,40,51,47,0.0,0.0,0,1,70.0,0.9285714285714286,0.0,0.0,11.0,34.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Passes progressives']","['Travail défensif', 'Finition', 'Dribble']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['UEFA Euro 2024']
Muhammed Kerem Aktürkoğlu,49689.0,Turkey,TR,LM,55,1-6M€,26,40,42,48,40,42,40,0.0,0.17551564600000003,0,1,6.0,0.6666666666666666,0.0,0.0,3.0,4.0,"['4-4-2', '4-2-3-1']",4-4-2,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ailier rentrant', 'Contre-attaque']",['UEFA Euro 2024']
Matej Maglica,153361.0,Darmstadt 98,EU,CB,55,1-6M€,40,43,40,52,40,52,44,0.0,0.0,0,0,42.0,0.6904761904761905,0.0,0.0,13.0,22.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Bundesliga 2023/24']
Michael Zetterer,23198.0,Werder Bremen,EU,GK,55,1-6M€,89,44,40,61,40,44,45,0.0,0.0,0,0,49.0,0.8775510204081632,0.0,0.0,0.0,30.0,"['4-3-3', '4-4-2', '3-5-2']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Relance au pied', 'Distribution longue']",['Bundesliga 2023/24']
Merlin Röhl,48240.0,Freiburg,EU,CDM,55,1-6M€,54,41,41,53,40,55,43,0.0,0.143741004,0,1,20.0,0.75,0.0,0.0,20.0,6.0,"['4-2-3-1', '4-3-3', '3-5-2']",4-2-3-1,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Double pivot', 'Récupération', 'Bloc bas']",['Bundesliga 2023/24']
Mateusz Wieteska,8704.0,Clermont Foot,EU,CB,55,1-6M€,28,48,40,62,75,48,45,0.0,0.023483265,0,0,46.0,0.9130434782608695,3.0,3.0,8.0,17.0,"['4-3-3', '3-5-2', '5-3-2']",4-3-3,"['Précision passe', 'Dribble réussi']","['Jeu de passe', 'Travail défensif', 'Finition']","['Ligne haute', 'Sortie balle au sol', 'Couverture de zone']",['Ligue 1 2022/23']
Moon-Hwan Kim,40672.0,South Korea,EU,RB,55,1-6M€,17,42,40,58,40,48,46,0.0,0.0,0,1,63.0,0.8253968253968254,0.0,0.0,8.0,17.0,"['4-3-3', '4-2-3-1', '3-4-3']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Piston offensif', 'Débordement', 'Centres']",['FIFA World Cup 2022']
Mathew Ryan,3240.0,Australia,EU,GK,55,1-6M€,63,57,40,58,71,44,52,0.0,0.0,0,0,130.0,0.6615384615384615,1.0,1.0,0.0,108.0,"['4-3-3', '4-4-2', '3-5-2']",4-3-3,['Passes progressives'],"['Jeu de passe', 'Travail défensif', 'Finition']","['Relance au pied', 'Distribution longue']",['FIFA World Cup 2022']
Moussa Soumano,350488.0,AC Ajaccio,EU,ST,55,1-6M€,36,42,41,52,71,44,40,0.0,0.0585685,0,1,4.0,0.75,1.0,1.0,7.0,1.0,"['4-3-3', '4-4-2', '4-2-3-1']",4-3-3,"['Polyvalence', 'Discipline tactique']","['Jeu de passe', 'Travail défensif', 'Finition']","['Attaque directe', 'Pressing avant', 'Profondeur']",['Ligue 1 2022/23']
